company,title,exp,link,edu,location
㈜이글루코퍼레이션,연구소 IT개발(서버/백엔드/프론트엔드/Python/웹 퍼블리셔/QA 엔지니어) 대규모 채용,신입·경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41669699?Oem_Code=C1&logpath=1&stext=python&listno=1,학력무관,서울 송파구
㈜포이시스,[본사/대구/부산] Java / Python 활용 / Android/ios/ 금융솔루션 개발자 및 디자이너 채용 공고(경력  신입),신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41669601?Oem_Code=C1&logpath=1&stext=python&listno=2,초대졸↑,서울 금천구 외
링크제니시스,차량용 SW Test 자동화 개발(Python) 및 검증,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41655451?Oem_Code=C1&logpath=1&stext=python&listno=3,초대졸↑,인천 서구 외
㈜핸디소프트,[개발자채용] Python 신입/경력 모집,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41589685?Oem_Code=C1&logpath=1&stext=python&listno=4,학력무관,경기 안양시
오상자이엘 ㈜,프로그래머(JAVA  Python  Oracle SQL) 및 PL  PM 모집,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41206906?Oem_Code=C1&logpath=1&stext=python&listno=5,대졸↑,인천 부평구
스마일게이트엔터테인먼트,인사행정지원 아르바이트 (Python 활용) 모집,신입,https://www.jobkorea.co.kr/Recruit/GI_Read/41176430?Oem_Code=C1&logpath=1&stext=python&listno=6,학력무관,경기 성남시
㈜연세교육아카데미,[연세IT미래교육원] KDT 빅데이터 교사 채용(자바 파이썬 DB AI 머신러닝 딥러닝 등),경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41612891?Oem_Code=C1&logpath=1&stext=python&listno=7,학력무관,경기 수원시 외
㈜한국정보기술단,파이썬 기반 사내 시스템 개발자 모집 (정규직),경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41610956?Oem_Code=C1&logpath=1&stext=python&listno=8,학력무관,서울 중구 외
㈜엔시스템,Java  Python 중급 개발자 [SK 실트론 프로젝트 - 경북 구미],경력4년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41610186?Oem_Code=C1&logpath=1&stext=python&listno=9,초대졸↑,경북 구미시
㈜큐빅 (Cubig Corp.,Python 개발자 모집 (경력직),경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41560470?Oem_Code=C1&logpath=1&stext=python&listno=10,학력무관,서울 서대문구 외
미래아이티㈜,Java/JSP/Python/빅데이터/AI 분야 신입/경력직 채용,신입·경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41270706?Oem_Code=C1&logpath=1&stext=python&listno=11,대졸↑,서울 송파구
㈜파인데이터랩,IT개발·데이터(Javascript  Python 데이터베이스) 채용합니다,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41019632?Oem_Code=C1&logpath=1&stext=python&listno=12,초대졸↑,서울 양천구
그린컴퓨터아카데미 의정부점,자바/파이썬 기반 빅데이터 개발자 종합반(국기) 강의하실 강사님 모십니다.,경력,https://www.jobkorea.co.kr/Recruit/GI_Read/41675220?Oem_Code=C1&logpath=1&stext=python&listno=13,학력무관,경기 의정부시
㈜더블엑스소프트,파이썬 개발자(Python Developer)가 필요해요,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41674844?Oem_Code=C1&logpath=1&stext=python&listno=14,학력무관,서울 강남구
휴먼교육센터,파이썬 python 보조강사 채용,경력무관,https://www.jobkorea.co.kr/Recruit/GI_Read/41673950?Oem_Code=C1&logpath=1&stext=python&listno=15,학력무관,서울 영등포구
㈜유니포유,기흥 테라타워 삼성전자 반도체 Python AI DB 모델러 데이터사이언스 모집,경력8년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41673394?Oem_Code=C1&logpath=1&stext=python&listno=16,학력무관,경기 수원시 외
이수정보㈜,[시청역] OO생명 API 개발(Python/고급),경력10년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41672969?Oem_Code=C1&logpath=1&stext=python&listno=17,초대졸↑,서울 중랑구 외
㈜컨셉터스,빅데이터 플랫폼 SW/데이터엔지니어(JAVA/Python) 신입/경력직 개발자 채용,신입·경력2년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41672247?Oem_Code=C1&logpath=1&stext=python&listno=18,학력무관,서울 강남구
행복추구 패러다임㈜kcms,구미 SK실트론 경영정보시스템 개발 Java  Python  Hadoop  Hive 경험자를 모집 합니다. (s02),경력6년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41662404?Oem_Code=C1&logpath=1&stext=python&listno=19,초대졸↑,경북 구미시
㈜우영씨앤씨,[금융SM] JAVA SPRING JSP Python PROC 손보 은행 캐피탈 카드 페이먼츠 파이썬 정보계,경력3년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41660115?Oem_Code=C1&logpath=1&stext=python&listno=20,고졸↑,서울 금천구 외
㈜이글루코퍼레이션,연구소 IT개발(서버/백엔드/프론트엔드/Python/웹 퍼블리셔/QA 엔지니어) 대규모 채용,신입·경력1년↑,https://www.jobkorea.co.kr/Recruit/GI_Read/41669699?Oem_Code=C1&logpath=1&stext=python&listno=1,학력무관,서울 송파구
