N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"60,300",100,-0.17%,100,"3,599,779","5,969,783",50.03,"12,205,540",9.78,13.92,
2,LG에너지솔루션,"564,000","20,000",-3.42%,500,"1,319,760","234,000",5.18,"328,498",229.83,10.68,
3,삼성바이오로직스,"834,000","36,000",-4.14%,"2,500","593,591","71,174",10.82,"80,927",113.22,8.21,
4,SK하이닉스,"81,000",900,-1.10%,"5,000","589,682","728,002",50.32,"2,932,979",6.36,16.84,
5,LG화학,"698,000","13,000",-1.83%,"5,000","492,735","70,592",48.04,"221,324",24.56,18.47,
6,삼성SDI,"701,000","17,000",-2.37%,"5,000","482,039","68,765",46.94,"188,219",28.75,8.45,
7,삼성전자우,"54,800",800,-1.44%,100,"450,942","822,887",71.68,"600,263",8.89,N/A,
8,현대차,"165,500","3,500",-2.07%,"5,000","353,621","213,668",29.07,"690,497",7.38,6.84,
9,NAVER,"193,500","8,000",+4.31%,100,"317,435","164,049",48.75,"1,082,650",34.09,106.72,
10,기아,"65,600",900,-1.35%,"5,000","265,918","405,363",36.24,"997,754",5.76,14.69,
11,카카오,"58,300","1,400",+2.46%,100,"259,631","445,336",26.89,"1,718,699",16.71,17.10,
12,POSCO홀딩스,"294,000","1,000",-0.34%,"5,000","248,639","84,571",51.46,"426,657",4.81,13.97,
13,셀트리온,"174,500",500,+0.29%,"1,000","245,705","140,805",21.35,"163,196",41.38,16.04,
14,삼성물산,"116,500","1,000",-0.85%,100,"217,723","186,887",16.84,"157,527",12.31,5.40,
15,KB금융,"52,600",200,+0.38%,"5,000","215,080","408,897",73.12,"588,867",4.66,9.80,
16,현대모비스,"208,500","5,000",-2.34%,"5,000","196,584","94,285",36.42,"150,332",8.23,6.87,
17,신한지주,"38,250",150,+0.39%,"5,000","196,197","512,934",61.82,"771,198",4.27,8.80,
18,포스코케미칼,"208,000","6,500",-3.03%,500,"161,123","77,463",8.75,"753,723",100.19,7.92,
19,SK이노베이션,"172,000","2,000",-1.15%,"5,000","159,041","92,466",25.75,"191,778",7.28,1.91,
20,LG전자,"97,100",500,+0.52%,"5,000","158,902","163,648",26.51,"412,920",11.11,6.32,
21,SK,"212,000","1,000",+0.47%,200,"157,197","74,149",22.69,"91,092",4.59,10.19,
22,삼성생명,"68,400",900,-1.30%,500,"136,800","200,000",13.58,"219,535",19.30,4.01,
23,하나금융지주,"45,600",50,+0.11%,"5,000","134,932","295,903",70.33,"876,707",3.68,10.86,
24,KT&G,"97,700",400,+0.41%,"5,000","134,135","137,292",43.38,"292,878",11.55,10.74,
25,카카오뱅크,"27,400","1,150",+4.38%,"5,000","130,598","476,634",13.49,"5,836,045",54.58,4.91,
26,한국전력,"19,850",50,-0.25%,"5,000","127,430","641,964",14.35,"850,613",-0.63,-7.99,
27,LG,"81,000","1,600",-1.94%,"5,000","127,414","157,301",36.42,"186,539",5.90,12.36,
28,고려아연,"600,000","11,000",-1.80%,"5,000","119,179","19,863",22.97,"62,178",15.68,11.07,
29,LG생활건강,"718,000","48,000",+7.16%,"5,000","112,139","15,618",36.58,"142,651",26.37,16.65,
30,SK텔레콤,"50,600",300,+0.60%,100,"110,730","218,833",46.06,"619,899",11.71,13.63,
31,HMM,"21,800",400,+1.87%,"5,000","106,611","489,039",9.43,"1,210,899",0.93,88.62,
32,삼성전기,"141,500","5,000",+3.66%,"5,000","105,692","74,694",27.84,"776,461",11.51,14.29,
33,두산에너빌리티,"16,250",100,+0.62%,"5,000","103,725","638,308",11.68,"2,753,525",325.00,10.67,
34,현대중공업,"115,000",0,0.00%,"5,000","102,089","88,773",6.26,"126,002",-14.37,-14.87,
35,엔씨소프트,"453,500","16,000",-3.41%,500,"99,561","21,954",43.62,"104,942",16.84,12.62,
36,KT,"37,750",300,+0.80%,"5,000","98,570","261,112",43.85,"930,970",6.92,9.36,
37,S-Oil,"87,500","1,400",+1.63%,"2,500","98,510","112,583",79.92,"208,620",4.71,21.76,
38,한화솔루션,"50,900",600,+1.19%,"5,000","97,361","191,278",25.06,"891,239",33.46,8.79,
39,삼성에스디에스,"125,000",0,0.00%,500,"96,722","77,378",13.88,"31,419",10.08,8.80,
40,대한항공,"25,600",600,+2.40%,"5,000","94,264","368,221",16.25,"1,474,262",5.10,11.60,
41,삼성화재,"197,500",500,+0.25%,500,"93,565","47,375",50.24,"70,042",8.63,7.09,
42,우리금융지주,"12,850",100,+0.78%,"5,000","93,556","728,061",40.34,"1,679,249",3.07,10.59,
43,크래프톤,"185,000","16,500",-8.19%,100,"90,783","49,072",29.78,"696,491",13.50,17.86,
44,카카오페이,"63,400","8,600",+15.69%,500,"84,132","132,701",42.78,"5,677,869",-320.20,-2.45,
45,기업은행,"11,250",50,+0.45%,"5,000","83,734","744,301",13.79,"878,993",3.43,9.21,
46,아모레퍼시픽,"138,000","6,500",+4.94%,500,"80,720","58,493",24.60,"556,127",139.39,4.20,
47,LG이노텍,"298,000","11,500",-3.72%,"5,000","70,528","23,667",25.44,"339,844",6.79,30.94,
48,롯데케미칼,"189,500","9,000",+4.99%,"5,000","64,952","34,275",25.88,"154,137",29.48,9.87,
49,SK바이오사이언스,"82,900","1,100",+1.34%,500,"63,654","76,784",4.64,"111,931",22.80,38.08,
50,현대글로비스,"168,000","2,000",-1.18%,500,"63,000","37,500",47.39,"47,341",5.80,14.41,
51,하이브,"152,000","1,000",+0.66%,500,"62,857","41,353",14.91,"154,440",22.97,6.83,
52,F&F,"160,500","10,000",+6.64%,100,"61,483","38,307",12.62,"284,660",15.18,N/A,
53,SK바이오팜,"72,900",400,+0.55%,500,"57,090","78,313",6.59,"68,290",-117.77,15.75,
54,CJ제일제당,"374,000","6,500",-1.71%,"5,000","56,303","15,054",24.35,"44,829",9.19,10.76,
